strategy,seed,noise_rate,n_reviews,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision
no_hitl,0,0.0,0,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,10,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,20,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,30,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,40,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,50,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,60,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,70,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,80,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,90,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,0,0.0,100,0.7903225806451613,0.7903225806451613,0.7903225806451613,0.9674185463659147,0.017663043478260868,62,62,0.9778225806451614,0.9010091129825872
no_hitl,1,0.0,0,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,10,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,20,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,30,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,40,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,50,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,60,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
no_hitl,1,0.0,70,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.974937343358396,0.01358695652173913,62,62,0.9795319074333801,0.9058122916919441
