strategy,noise_rate,n_reviews,recall_mean,recall_std,count
rule_mining,0.0,180,1.0,0.0,5
rule_mining,0.0,190,1.0,0.0,5
rule_mining,0.0,200,1.0,0.0,5
threshold_adjustment,0.0,0,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,10,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,20,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,30,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,40,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,50,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,60,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,70,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,80,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,90,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,100,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,110,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,120,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,130,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,140,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,150,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,160,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,170,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,180,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,190,0.9039999999999999,0.01460593486680441,5
threshold_adjustment,0.0,200,0.9039999999999999,0.01460593486680441,5
