strategy,seed,noise_rate,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision,runtime_seconds
threshold_adjustment,4,0.1,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.32457685470581055
preference_model,0,0.1,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.998,0.0010094637223974764,75,75,0.9998149316508937,0.9824363327335008,2.652653932571411
preference_model,1,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9998014721345951,0.9844117486761637,2.2173378467559814
preference_model,2,0.1,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9991141955835963,0.9571438887462917,2.218177080154419
preference_model,3,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9999015772870662,0.9901791892393388,2.199934959411621
preference_model,4,0.1,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.9998586750788644,0.9861627801146657,2.2700421810150146
active_learning,0,0.1,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.9996466876971609,0.9823629815735078,2.50425124168396
active_learning,1,0.1,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.999,0.0005047318611987382,75,75,0.9999394321766562,0.9940281734942807,2.2810890674591064
active_learning,2,0.1,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.999769505783386,0.9853899925517802,2.3442862033843994
active_learning,3,0.1,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.999,0.0005047318611987382,75,75,0.9998889589905363,0.9901248123381415,2.3998570442199707
active_learning,4,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9995162986330179,0.9678375628580621,2.297168016433716
hybrid_scoring,0,0.1,0.8933333333333333,0.8933333333333333,0.8933333333333333,0.998,0.0010094637223974764,75,75,0.9997442691903259,0.9770577581932838,2.260324001312256
hybrid_scoring,1,0.1,0.9466666666666667,0.9466666666666667,0.9466666666666667,0.999,0.0005047318611987382,75,75,0.9999629863301788,0.9963151301647949,2.274902105331421
hybrid_scoring,2,0.1,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.9995676130389064,0.9710599964379762,2.2706501483917236
hybrid_scoring,3,0.1,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9998940063091482,0.9896233004430368,2.313880205154419
hybrid_scoring,4,0.1,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.9999394321766562,0.9942897183679674,2.266371011734009
rule_mining,0,0.1,1.0,1.0,1.0,1.0,0.0,75,75,1.0,0.9999999999999999,0.5511372089385986
rule_mining,1,0.1,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9995,0.0002523659305993691,75,75,0.9995524710830704,0.9892656419810588,0.5476870536804199
rule_mining,2,0.1,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9995,0.0002523659305993691,75,75,0.9999394321766562,0.9953287003754294,0.5069658756256104
rule_mining,3,0.1,1.0,1.0,1.0,1.0,0.0,75,75,1.0,1.0000000000000002,0.5192320346832275
rule_mining,4,0.1,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.9999360672975814,0.9943651328351305,0.5321002006530762
no_hitl,0,0.2,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.30074286460876465
no_hitl,1,0.2,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.2956700325012207
no_hitl,2,0.2,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.2924799919128418
no_hitl,3,0.2,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.2952759265899658
no_hitl,4,0.2,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.2959110736846924
threshold_adjustment,0,0.2,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.29152679443359375
threshold_adjustment,1,0.2,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.29440903663635254
threshold_adjustment,2,0.2,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.2946202754974365
threshold_adjustment,3,0.2,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.29672718048095703
threshold_adjustment,4,0.2,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.29253411293029785
preference_model,0,0.2,0.8,0.8,0.8,0.99625,0.0018927444794952682,75,75,0.9905917981072556,0.8448873605304665,2.4564309120178223
preference_model,1,0.2,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.9965,0.0017665615141955835,75,75,0.9948424815983175,0.8892477130315195,2.2979788780212402
preference_model,2,0.2,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.99525,0.0023974763406940064,75,75,0.9543343848580441,0.8119214832798957,2.356255054473877
preference_model,3,0.2,0.84,0.84,0.84,0.997,0.0015141955835962144,75,75,0.9994035751840168,0.9474738436797588,2.2962148189544678
preference_model,4,0.2,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.998149316508938,0.9257868940850693,2.3875341415405273
active_learning,0,0.2,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989080967402735,0.9079279876619739,2.5760838985443115
active_learning,1,0.2,0.84,0.84,0.84,0.997,0.0015141955835962144,75,75,0.9990031545741325,0.889115453378971,2.5521299839019775
active_learning,2,0.2,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.98825,0.005930599369085174,75,75,0.949594952681388,0.31148770458259684,2.8584978580474854
active_learning,3,0.2,0.76,0.76,0.76,0.9955,0.0022712933753943217,75,75,0.9977421661409043,0.7358395256226209,2.503749132156372
active_learning,4,0.2,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9975,0.0012618296529968455,75,75,0.9986018927444795,0.9278837625787263,2.5332820415496826
hybrid_scoring,0,0.2,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.996,0.002018927444794953,75,75,0.998537960042061,0.9076828558393868,2.4184088706970215
hybrid_scoring,1,0.2,0.8133333333333334,0.8133333333333334,0.8133333333333334,0.9965,0.0017665615141955835,75,75,0.9987146161934805,0.9268174470498433,2.3563387393951416
hybrid_scoring,2,0.2,0.76,0.76,0.76,0.9955,0.0022712933753943217,75,75,0.995092323869611,0.8582177238214246,2.44395112991333
hybrid_scoring,3,0.2,0.8,0.8,0.8,0.99625,0.0018927444794952682,75,75,0.9990511041009463,0.9417610349964237,2.3540101051330566
hybrid_scoring,4,0.2,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9975,0.0012618296529968455,75,75,0.9995238696109359,0.9617442933916207,2.371426820755005
rule_mining,0,0.2,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9995,0.0002523659305993691,75,75,0.9999865404837014,0.9986048703856922,0.48934197425842285
rule_mining,1,0.2,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.9999646687697161,0.9962751388579095,0.5225491523742676
rule_mining,2,0.2,0.96,0.96,0.96,0.99925,0.0003785488958990536,75,75,0.9999596214511042,0.9956327435575598,0.5513908863067627
rule_mining,3,0.2,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9995,0.0002523659305993691,75,75,0.9942797055730809,0.9722450135539187,0.5034501552581787
rule_mining,4,0.2,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.9930027339642482,0.9796412472058283,0.5267632007598877
no_hitl,0,0.3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.3014070987701416
no_hitl,1,0.3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.3043351173400879
no_hitl,2,0.3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.30793118476867676
no_hitl,3,0.3,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.3197309970855713
no_hitl,4,0.3,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.334399938583374
threshold_adjustment,0,0.3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9996281808622502,0.9654137017551283,0.3097090721130371
threshold_adjustment,1,0.3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993371188222923,0.9515410321351309,0.30716705322265625
threshold_adjustment,2,0.3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.99825,0.0008832807570977918,75,75,0.9993640378548896,0.9509105372233266,0.3034391403198242
threshold_adjustment,3,0.3,0.92,0.92,0.92,0.9985,0.0007570977917981072,75,75,0.99975436382755,0.9739666055229783,0.3262977600097656
threshold_adjustment,4,0.3,0.88,0.88,0.88,0.99775,0.0011356466876971609,75,75,0.9989602523659307,0.9300155255262721,0.36853790283203125
preference_model,0,0.3,0.6133333333333333,0.6133333333333333,0.6133333333333333,0.99275,0.0036593059936908517,75,75,0.9740853838065195,0.660327413849304,2.6632299423217773
preference_model,1,0.3,0.6533333333333333,0.6533333333333333,0.6533333333333333,0.9935,0.003280757097791798,75,75,0.9767125131440588,0.661378960478167,2.51544189453125
