strategy,seed,noise_rate,n_reviews,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision
active_learning,1,0.0,40,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,1,0.0,50,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,1,0.0,60,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,1,0.0,70,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
active_learning,1,0.0,80,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,0,0.0,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
rule_mining,0,0.0,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9987322033898305,0.9651568119166608
rule_mining,0,0.0,20,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9903593220338983,0.9271644674946439
rule_mining,0,0.0,30,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9903593220338983,0.9271644674946439
rule_mining,0,0.0,40,0.88,0.88,0.88,0.996,0.002033898305084746,50,50,0.953850847457627,0.8895342859392931
rule_mining,0,0.0,50,0.88,0.88,0.88,0.996,0.002033898305084746,50,50,0.9942576271186441,0.9144279731117512
rule_mining,0,0.0,60,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,0,0.0,70,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,0,0.0,80,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,1,0.0,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9990983050847457,0.9386548962703175
rule_mining,1,0.0,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9986983050847458,0.963972147114349
rule_mining,1,0.0,20,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9902372881355932,0.9270575783725251
rule_mining,1,0.0,30,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9902372881355932,0.9270575783725251
rule_mining,1,0.0,40,0.88,0.88,0.88,0.996,0.002033898305084746,50,50,0.9538372881355931,0.8895323991568481
rule_mining,1,0.0,50,0.88,0.88,0.88,0.996,0.002033898305084746,50,50,0.9941220338983051,0.9140778768462996
rule_mining,1,0.0,60,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,1,0.0,70,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
rule_mining,1,0.0,80,1.0,1.0,1.0,1.0,0.0,50,50,1.0,1.0
no_hitl,0,0.2,0,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,10,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,20,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
no_hitl,0,0.2,30,0.92,0.92,0.92,0.9973333333333333,0.0013559322033898306,50,50,0.9991864406779661,0.9344842682259649
