strategy,noise_rate,n_reviews,precision_mean,precision_std,count
active_learning,0.0,0,0.8,0.0174239063181802,5
active_learning,0.0,10,0.8,0.0174239063181802,5
active_learning,0.0,20,0.8,0.0174239063181802,5
active_learning,0.0,30,0.8,0.0174239063181802,5
active_learning,0.0,40,0.8,0.0174239063181802,5
active_learning,0.0,50,0.8142857142857143,0.018707610767386924,5
active_learning,0.0,60,0.8337662337662337,0.036617849817848505,5
active_learning,0.0,70,0.851948051948052,0.030937998050835327,5
active_learning,0.0,80,0.8740259740259739,0.03134420360038225,5
active_learning,0.0,90,0.8974025974025974,0.01742390631818021,5
active_learning,0.0,100,0.9116883116883117,0.022305927321191788,5
active_learning,0.0,110,0.909090909090909,0.0358615617441145,5
active_learning,0.0,120,0.9324675324675326,0.016932993260266614,5
active_learning,0.0,130,0.9441558441558442,0.022773607684091195,5
active_learning,0.0,140,0.9584415584415584,0.029256832015763158,5
active_learning,0.0,150,0.9662337662337663,0.030595373998414926,5
active_learning,0.0,160,0.9740259740259741,0.02429647653749318,5
active_learning,0.0,170,0.9922077922077921,0.010669919951399324,5
active_learning,0.0,180,0.996103896103896,0.005807968772726697,5
active_learning,0.0,190,0.9987012987012986,0.002903984386363352,5
active_learning,0.0,200,1.0,0.0,5
hybrid_scoring,0.0,0,0.8,0.0174239063181802,5
hybrid_scoring,0.0,10,0.8,0.0174239063181802,5
hybrid_scoring,0.0,20,0.8,0.0174239063181802,5
hybrid_scoring,0.0,30,0.8,0.0174239063181802,5
hybrid_scoring,0.0,40,0.8,0.0174239063181802,5
hybrid_scoring,0.0,50,0.8168831168831169,0.01680802481239579,5
hybrid_scoring,0.0,60,0.8285714285714285,0.02852712030712831,5
hybrid_scoring,0.0,70,0.848051948051948,0.01870761076738688,5
hybrid_scoring,0.0,80,0.8467532467532468,0.019262853213235412,5
hybrid_scoring,0.0,90,0.8545454545454545,0.013465221658005011,5
hybrid_scoring,0.0,100,0.8532467532467531,0.016298571945469003,5
hybrid_scoring,0.0,110,0.8675324675324676,0.00580796877272673,5
hybrid_scoring,0.0,120,0.868831168831169,0.008466496630133314,5
hybrid_scoring,0.0,130,0.8779220779220779,0.0071132799675995865,5
hybrid_scoring,0.0,140,0.8831168831168832,0.00459160247523733,5
hybrid_scoring,0.0,150,0.8922077922077921,0.003556639983799728,5
hybrid_scoring,0.0,160,0.8896103896103897,0.0,5
hybrid_scoring,0.0,170,0.890909090909091,0.002903984386363352,5
hybrid_scoring,0.0,180,0.8922077922077921,0.003556639983799728,5
hybrid_scoring,0.0,190,0.8974025974025974,0.005432857315156335,5
hybrid_scoring,0.0,200,0.9025974025974026,0.00795288877527008,5
no_hitl,0.0,0,0.8,0.0174239063181802,5
no_hitl,0.0,10,0.8,0.0174239063181802,5
no_hitl,0.0,20,0.8,0.0174239063181802,5
no_hitl,0.0,30,0.8,0.0174239063181802,5
no_hitl,0.0,40,0.8,0.0174239063181802,5
no_hitl,0.0,50,0.8,0.0174239063181802,5
no_hitl,0.0,60,0.8,0.0174239063181802,5
no_hitl,0.0,70,0.8,0.0174239063181802,5
no_hitl,0.0,80,0.8,0.0174239063181802,5
no_hitl,0.0,90,0.8,0.0174239063181802,5
no_hitl,0.0,100,0.8,0.0174239063181802,5
no_hitl,0.0,110,0.8,0.0174239063181802,5
no_hitl,0.0,120,0.8,0.0174239063181802,5
no_hitl,0.0,130,0.8,0.0174239063181802,5
no_hitl,0.0,140,0.8,0.0174239063181802,5
no_hitl,0.0,150,0.8,0.0174239063181802,5
no_hitl,0.0,160,0.8,0.0174239063181802,5
no_hitl,0.0,170,0.8,0.0174239063181802,5
no_hitl,0.0,180,0.8,0.0174239063181802,5
no_hitl,0.0,190,0.8,0.0174239063181802,5
no_hitl,0.0,200,0.8,0.0174239063181802,5
preference_model,0.0,0,0.8,0.0174239063181802,5
preference_model,0.0,10,0.8,0.0174239063181802,5
preference_model,0.0,20,0.8,0.0174239063181802,5
preference_model,0.0,30,0.8,0.0174239063181802,5
preference_model,0.0,40,0.8,0.0174239063181802,5
preference_model,0.0,50,0.8142857142857143,0.018707610767386924,5
preference_model,0.0,60,0.8012987012987013,0.010865714630312686,5
preference_model,0.0,70,0.7844155844155845,0.046236319789397164,5
preference_model,0.0,80,0.7857142857142857,0.05432857315156336,5
