strategy,seed,noise_rate,precision,recall,f1,accuracy,fpr,n_flagged,n_positive,roc_auc,average_precision,runtime_seconds
no_hitl,0,0.0,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9648946840521565,0.019021739130434784,154,154,0.961423630717109,0.8429081388493574,0.20317888259887695
no_hitl,1,0.0,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9614448051948052,0.8610524074185852,0.1975853443145752
no_hitl,2,0.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9719157472417251,0.015217391304347827,154,154,0.9636328345567475,0.8589902292299887,0.18471670150756836
no_hitl,3,0.0,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.970912738214644,0.01576086956521739,154,154,0.9672324957651045,0.8755909128359967,0.1828761100769043
no_hitl,4,0.0,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9598884810841332,0.8585358597495659,0.18342804908752441
threshold_adjustment,0,0.0,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9648946840521565,0.019021739130434784,154,154,0.961423630717109,0.8429081388493574,0.18490004539489746
threshold_adjustment,1,0.0,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9614448051948052,0.8610524074185852,0.18461275100708008
threshold_adjustment,2,0.0,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9719157472417251,0.015217391304347827,154,154,0.9636328345567475,0.8589902292299887,0.18306493759155273
threshold_adjustment,3,0.0,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.970912738214644,0.01576086956521739,154,154,0.9672324957651045,0.8755909128359967,0.18933701515197754
threshold_adjustment,4,0.0,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9598884810841332,0.8585358597495659,0.21407794952392578
preference_model,0,0.0,0.9935064935064936,0.9935064935064936,0.9935064935064936,0.9989969909729187,0.0005434782608695652,154,154,0.9997776679841897,0.9980519480519481,1.5984869003295898
preference_model,1,0.0,1.0,1.0,1.0,1.0,0.0,154,154,0.9999999999999999,1.0,1.6434979438781738
preference_model,2,0.0,0.9935064935064936,0.9935064935064936,0.9935064935064936,0.9989969909729187,0.0005434782608695652,154,154,0.9999841191417278,0.9997958016825943,1.5548937320709229
preference_model,3,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,1.0,1.4716858863830566
preference_model,4,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,1.0,1.607274055480957
active_learning,0,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,0.9999999999999999,1.647038221359253
active_learning,1,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,1.0,1.603712797164917
active_learning,2,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,1.0,1.567263126373291
active_learning,3,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,0.9999999999999999,1.4728500843048096
active_learning,4,0.0,1.0,1.0,1.0,1.0,0.0,154,154,1.0,1.0,1.546036958694458
hybrid_scoring,0,0.0,0.9025974025974026,0.9025974025974026,0.9025974025974026,0.9849548645937813,0.008152173913043478,154,154,0.9838968097120272,0.9403470008715353,1.6039259433746338
hybrid_scoring,1,0.0,0.9025974025974026,0.9025974025974026,0.9025974025974026,0.9849548645937813,0.008152173913043478,154,154,0.9851002258610955,0.9435655651072967,1.6239092350006104
hybrid_scoring,2,0.0,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.9839518555667001,0.008695652173913044,154,154,0.9852978543195934,0.9420405829295599,1.5389840602874756
hybrid_scoring,3,0.0,0.9155844155844156,0.9155844155844156,0.9155844155844156,0.9869608826479438,0.007065217391304348,154,154,0.9856401750423489,0.9450800177232969,1.478522777557373
hybrid_scoring,4,0.0,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.9839518555667001,0.008695652173913044,154,154,0.9823793054771316,0.9374883634384715,1.4735698699951172
rule_mining,0,0.0,0.9155844155844156,0.9155844155844156,0.9155844155844156,0.9869608826479438,0.007065217391304348,154,154,0.99805900621118,0.9798874958652573,0.49080324172973633
rule_mining,1,0.0,0.9155844155844156,0.9155844155844156,0.9155844155844156,0.9869608826479438,0.007065217391304348,154,154,0.9981648785996613,0.980559321520931,0.5788500308990479
rule_mining,2,0.0,0.9155844155844156,0.9155844155844156,0.9155844155844156,0.9869608826479438,0.007065217391304348,154,154,0.9982001693958216,0.9806172477806209,0.8773057460784912
rule_mining,3,0.0,0.9025974025974026,0.9025974025974026,0.9025974025974026,0.9849548645937813,0.008152173913043478,154,154,0.998140175042349,0.9804721537869316,0.5987350940704346
rule_mining,4,0.0,0.9155844155844156,0.9155844155844156,0.9155844155844156,0.9869608826479438,0.007065217391304348,154,154,0.9981719367588933,0.9805941804942456,0.44136810302734375
no_hitl,0,0.1,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9648946840521565,0.019021739130434784,154,154,0.961423630717109,0.8429081388493574,0.21146106719970703
no_hitl,1,0.1,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9614448051948052,0.8610524074185852,0.1980268955230713
no_hitl,2,0.1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9719157472417251,0.015217391304347827,154,154,0.9636328345567475,0.8589902292299887,0.26613283157348633
no_hitl,3,0.1,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.970912738214644,0.01576086956521739,154,154,0.9672324957651045,0.8755909128359967,0.3066990375518799
no_hitl,4,0.1,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9598884810841332,0.8585358597495659,0.1876680850982666
threshold_adjustment,0,0.1,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.9648946840521565,0.019021739130434784,154,154,0.961423630717109,0.8429081388493574,0.2026228904724121
threshold_adjustment,1,0.1,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9614448051948052,0.8610524074185852,0.18405604362487793
threshold_adjustment,2,0.1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9719157472417251,0.015217391304347827,154,154,0.9636328345567475,0.8589902292299887,0.1979529857635498
threshold_adjustment,3,0.1,0.8116883116883117,0.8116883116883117,0.8116883116883117,0.970912738214644,0.01576086956521739,154,154,0.9672324957651045,0.8755909128359967,0.19757604598999023
threshold_adjustment,4,0.1,0.7987012987012987,0.7987012987012987,0.7987012987012987,0.9689067201604814,0.01684782608695652,154,154,0.9598884810841332,0.8585358597495659,0.18674874305725098
preference_model,0,0.1,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.9839518555667001,0.008695652173913044,154,154,0.9840697346132129,0.9399671191007541,2.0654611587524414
preference_model,1,0.1,0.922077922077922,0.922077922077922,0.922077922077922,0.9879638916750251,0.006521739130434782,154,154,0.9964179841897234,0.9741897702206929,2.0671849250793457
preference_model,2,0.1,0.8701298701298701,0.8701298701298701,0.8701298701298701,0.9799398194583752,0.010869565217391304,154,154,0.9813735177865612,0.9294251201132868,2.460944890975952
preference_model,3,0.1,0.9025974025974026,0.9025974025974026,0.9025974025974026,0.9849548645937813,0.008152173913043478,154,154,0.9958709768492376,0.9692299788478844,2.162839889526367
preference_model,4,0.1,0.9155844155844156,0.9155844155844156,0.9155844155844156,0.9869608826479438,0.007065217391304348,154,154,0.9974855307735743,0.978676784861703,2.072831869125366
active_learning,0,0.1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9889669007021064,0.005978260869565218,154,154,0.9976143421795596,0.9759365448029714,2.169520139694214
active_learning,1,0.1,0.961038961038961,0.961038961038961,0.961038961038961,0.9939819458375125,0.003260869565217391,154,154,0.9993347684923772,0.9893416953408194,2.0036749839782715
active_learning,2,0.1,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9889669007021064,0.005978260869565218,154,154,0.9962062394127611,0.9634443443128301,1.9634861946105957
active_learning,3,0.1,0.948051948051948,0.948051948051948,0.948051948051948,0.9919759277833501,0.004347826086956522,154,154,0.9983960333145117,0.98554212981901,2.0229690074920654
active_learning,4,0.1,0.948051948051948,0.948051948051948,0.948051948051948,0.9919759277833501,0.004347826086956522,154,154,0.99706204121965,0.9827696246719979,1.9626929759979248
hybrid_scoring,0,0.1,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.9839518555667001,0.008695652173913044,154,154,0.9891727837380012,0.9612118305983423,1.9672751426696777
hybrid_scoring,1,0.1,0.8961038961038961,0.8961038961038961,0.8961038961038961,0.9839518555667001,0.008695652173913044,154,154,0.9823969508752117,0.9357248276855955,2.016231060028076
hybrid_scoring,2,0.1,0.8766233766233766,0.8766233766233766,0.8766233766233766,0.9809428284854563,0.010326086956521738,154,154,0.9775021174477695,0.9242652158563106,1.9742891788482666
hybrid_scoring,3,0.1,0.9025974025974026,0.9025974025974026,0.9025974025974026,0.9849548645937813,0.008152173913043478,154,154,0.9902526821005082,0.9603174258422837,1.954728364944458
hybrid_scoring,4,0.1,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9789368104312939,0.01141304347826087,154,154,0.9931994635798984,0.9502495312609476,1.928260087966919
rule_mining,0,0.1,0.8831168831168831,0.8831168831168831,0.8831168831168831,0.9819458375125376,0.009782608695652175,154,154,0.9958709768492378,0.9535558910840437,0.3966400623321533
rule_mining,1,0.1,0.922077922077922,0.922077922077922,0.922077922077922,0.9879638916750251,0.006521739130434782,154,154,0.998140175042349,0.9796808806443209,0.40101099014282227
rule_mining,2,0.1,0.8896103896103896,0.8896103896103896,0.8896103896103896,0.9829488465396189,0.00923913043478261,154,154,0.996876764539808,0.967731123719789,0.41867613792419434
rule_mining,3,0.1,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9859578736208626,0.007608695652173913,154,154,0.9978754940711463,0.975749152816051,0.3913688659667969
